Name,Year,Rating,Genre,Director,Cast,URL
Angamaly Diaries,2017,7.7,"Action, Comedy, Thriller",Lijo Jose Pellissery,Antony Varghese,"https://m.media-amazon.com/images/M/MV5BZmQ3NDc1NGYtMTkzOC00MTUzLTgyNjYtZDM2MmU3M2M2M2Y1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Anjaam Pathiraa,2020,7.7,"Crime, Mystery, Thriller",Midhun Manuel Thomas,Kunchacko Boban,"https://m.media-amazon.com/images/M/MV5BNjYxMWUwNGUtZmRmMy00MDZlLTgwNDMtODVlOGFjMTBlNGJkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY67_CR0,0,45,67_AL_.jpg"
Badla,2019,7.7,"Crime, Drama, Mystery",Sujoy Ghosh,Amitabh Bachchan,"https://m.media-amazon.com/images/M/MV5BYjZiMzIzYTctNDViZi00OWNmLWFmN2YtMmI2OWJiZWViMmY3XkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_UY67_CR2,0,45,67_AL_.jpg"
Dasvidaniya,2008,7.7,"Comedy, Drama",Shashant Shah,Vinay Pathak,"https://m.media-amazon.com/images/M/MV5BZWU3ZTU2OGUtZGJlYS00Yjc5LTk0ZTctOGZkZGZmODkxYmVmXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY67_CR1,0,45,67_AL_.jpg"
Dia,2020,7.7,"Drama, Romance",K.S. Ashoka,Kushi,"https://m.media-amazon.com/images/M/MV5BNDQxYjRmNWYtNjgyMC00MDg2LTg2OTEtZmIzNWNkMDhkOTk1XkEyXkFqcGdeQXVyMzU0ODc1MTQ@._V1_UY67_CR2,0,45,67_AL_.jpg"
Don,1978,7.7,"Action, Crime, Thriller",Chandra Barot,Amitabh Bachchan,"https://m.media-amazon.com/images/M/MV5BMzc0OGU4NGYtNzgwMy00NThjLWJmYWItZDUzZTVlZjg0YjdjXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
Ghilli,2004,7.7,"Action, Drama, Romance",Dharani,Thalapathy Vijay,"https://m.media-amazon.com/images/M/MV5BY2MyOTA2MjUtZmI5Ny00MmU0LTk4ZTUtYmU1ZDA1NTBkODRjXkEyXkFqcGdeQXVyOTA3MTc1OTg@._V1_UY67_CR2,0,45,67_AL_.jpg"
Happy Days,2007,7.7,Drama,Sekhar Kammula,Varun Sandesh,"https://m.media-amazon.com/images/M/MV5BY2U4NmIzYzgtNmU1OS00ODgyLTg1ZDktZGIwZTU0NTA4ZDJjXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UX45_CR0,0,45,67_AL_.jpg"
Hey Ram,2000,7.7,"Crime, Drama, History",Kamal Haasan,Kamal Haasan,"https://m.media-amazon.com/images/M/MV5BYzMxYzZjMDUtZjI3Ni00Y2M2LTllYWItNzJmZTJjMzkyYjlmXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
Hridayam,2022,7.7,"Drama, Musical, Romance",Vineeth Sreenivasan,Pranav Mohanlal,"https://m.media-amazon.com/images/M/MV5BYzQ0NGNlNGItMTQ2Ny00YjliLTkzZDktN2VlMWQzNWIwODU5XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY67_CR4,0,45,67_AL_.jpg"
Joji,2021,7.7,"Crime, Drama",Dileesh Pothan,Fahadh Faasil,"https://m.media-amazon.com/images/M/MV5BN2UyMmI4MGEtOTMzMy00NTNjLWFmZWUtMzI1NzQ5NzU0NzBjXkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_UY67_CR2,0,45,67_AL_.jpg"
Kai po che!,2013,7.7,"Drama, Sport",Abhishek Kapoor,Amit Sadh,"https://m.media-amazon.com/images/M/MV5BMTgwNTAwMjEzMF5BMl5BanBnXkFtZTcwNzMzODY4OA@@._V1_UY67_CR3,0,45,67_AL_.jpg"
Kaththi,2014,7.7,"Action, Drama",A.R. Murugadoss,Thalapathy Vijay,"https://m.media-amazon.com/images/M/MV5BOTVkNGViZGEtMjZkMy00MzgyLWIxZTktZjgwYzAwNDM1MDcxXkEyXkFqcGdeQXVyODk1MzE5NDA@._V1_UX45_CR0,0,45,67_AL_.jpg"
Manam,2014,7.7,"Comedy, Drama, Fantasy",Vikram K. Kumar,Akkineni Nageshwara Rao,"https://m.media-amazon.com/images/M/MV5BYjlmMDUzMzQtYzY4OC00NGYwLWI1MmItMGIyYTk0NDFlMWZmXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY67_CR1,0,45,67_AL_.jpg"
Mimi,2021,7.7,"Comedy, Drama",Rajesh Bhatia,Kriti Sanon,"https://m.media-amazon.com/images/M/MV5BZTkwMDQ4ZmEtNTdhNi00MmMzLTgwNTQtMDI1NDJjZjQ5Zjg5XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY67_CR2,0,45,67_AL_.jpg"
Minnal Murali,2021,7.7,"Action, Adventure, Comedy",Basil Joseph,Tovino Thomas,"https://m.media-amazon.com/images/M/MV5BNzllYTM0ZDgtZTk4NS00YjYzLTliNjktMjZmNTZmNGZlNzI4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY67_CR4,0,45,67_AL_.jpg"
Mother India,1957,7.7,"Action, Comedy, Drama",Mehboob Khan,Nargis,"https://m.media-amazon.com/images/M/MV5BNDcyMDE0ZWUtYjI3Ny00N2U2LWEzMTAtYzE4OTEzZjgyNzQ1XkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_UY67_CR1,0,45,67_AL_.jpg"
Mr. India,1987,7.7,"Action, Comedy, Drama",Shekhar Kapur,Anil Kapoor,"https://m.media-amazon.com/images/M/MV5BZTdhMmJjYjMtMjZmOC00NjhkLWE3MjQtODAzNDI4NmM5OTA5XkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_UX45_CR0,0,45,67_AL_.jpg"
Mumbai Police,2013,7.7,"Crime, Mystery, Thriller",Roshan Andrews,Prithviraj Sukumaran,"https://m.media-amazon.com/images/M/MV5BNDU2MzNkMjUtOTE1Ny00NWY5LWFkNTEtNTMxYTAwYTc5NjllXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY67_CR1,0,45,67_AL_.jpg"
Nayak: The Real Hero,2001,7.7,"Action, Drama, Thriller",S. Shankar,Anil Kapoor,"https://m.media-amazon.com/images/M/MV5BMGIxZGVlMzEtYjZlZS00NGRkLWEwMjUtNGEwOGUwY2ViZTA2XkEyXkFqcGdeQXVyNjY1NTEzNjE@._V1_UY67_CR1,0,45,67_AL_.jpg"
Okkadu,2003,7.7,"Action, Drama, Romance",Gunasekhar,Mahesh Babu,"https://m.media-amazon.com/images/M/MV5BZmJiZTIwYzktZDQyMi00OWYzLTliZDEtOTAzYmNjNjZjNTllXkEyXkFqcGdeQXVyMjMyNjkwMTY@._V1_UY67_CR1,0,45,67_AL_.jpg"
Pokiri,2006,7.7,"Action, Crime, Thriller",Puri Jagannadh,Mahesh Babu,"https://m.media-amazon.com/images/M/MV5BOWNkMWQ3MDEtYjQ3Zi00Y2NhLWE1NzYtZGJkM2NlYWY3OWFmXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_UX45_CR0,0,45,67_AL_.jpg"
Poove Unakkaga,1996,7.7,"Comedy, Drama, Romance",Vikraman,Anju Aravind,"https://m.media-amazon.com/images/M/MV5BYmFjNDRkZDktYTEyNS00MmEzLWFmMWQtYmY1NTdjYjkxOWExXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_UY67_CR1,0,45,67_AL_.jpg"
Raazi,2018,7.7,"Action, Drama, Thriller",Meghna Gulzar,Alia Bhatt,"https://m.media-amazon.com/images/M/MV5BZmVhN2JlYjEtZWFkOS00YzE0LThiNDMtMGI3NDA1MTk2ZDQ2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR0,0,45,67_AL_.jpg"
RangiTaranga,2015,7.7,"Mystery, Thriller",Anup Bhandari,Nirup Bhandari,"https://m.media-amazon.com/images/M/MV5BMTAzNjAwNDEwMTNeQTJeQWpwZ15BbWU4MDk5MjMyMzYx._V1_UY67_CR0,0,45,67_AL_.jpg"
Rock On!!,2008,7.7,"Drama, Music",Abhishek Kapoor,Arjun Rampal,"https://m.media-amazon.com/images/M/MV5BMTM2NjIwODc4N15BMl5BanBnXkFtZTcwMDgwMzM4MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg"
Secret Superstar,2017,7.7,"Drama, Music",Advait Chandan,Zaira Wasim,"https://m.media-amazon.com/images/M/MV5BM2IzMGIxMDQtNzE3OS00MGZjLTljNzgtMGE2MjAyZThmNjNhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY67_CR2,0,45,67_AL_.jpg"
Sonchiriya,2019,7.7,"Action, Crime, Drama",Abhishek Chaubey,Sushant Singh Rajput,"https://m.media-amazon.com/images/M/MV5BY2YyZmI2NGQtNzNjOS00MTY1LTkxNWEtNzg0YWYzOGZiMzcyXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY67_CR0,0,45,67_AL_.jpg"
Stanley Ka Dabba,2011,7.7,"Comedy, Drama, Family",Amole Gupte,Partho A. Gupte,"https://m.media-amazon.com/images/M/MV5BZWVlMzlmOWItYTgwMi00MjExLTgwNDItNWI4YzY2MTgzMWJlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY67_CR1,0,45,67_AL_.jpg"
